"artista","musica","generos","key","duracao","popularidade","acustico","discurso","vivacidade","instrumentalidade","energia","tempo","time_signature","sonoridade","dancabilidade","valencia"
"The Neighbourhood","#icanteven (feat. French Montana)","modern alternative rock, modern rock, pop, shimmer pop","Fs",234480,61,0.114,0.146,0.0787,1.9e-05,0.625,111.866,4,-9.387,0.359,0.154
"XXXTENTACION","#PROUDCATOWNERREMIX","emo rap, miami hip hop","Cs",157293,50,0.0287,0.39,0.127,4.13e-05,0.522,145.127,4,-6.229,0.783,0.235
"The Chainsmokers","#SELFIE","dance pop, edm, electropop, pop, pop dance, tropical house","C",183750,60,0.0135,0.249,0.077,8.09e-06,0.916,127.956,4,-3.262,0.789,0.658
"XXXTENTACION","$$$ - with Matt Ox","emo rap, miami hip hop","Cs",130403,59,0.0636,0.065,0.138,0,0.507,140.067,4,-6.952,0.774,0.508
"Sfera Ebbasta","$€ Freestyle","italian hip hop, italian pop, trap italiana, trap latino","Gs",164468,46,0.2,0.335,0.376,0,0.67,136.079,4,-8.661,0.813,0.38
"Lil Dicky","$ave Dat Money (feat. Fetty Wap & Rich Homie Quan)","comedy rap, pop rap, rap","D",290835,59,0.114,0.23,0.224,0,0.697,98.013,4,-5.361,0.858,0.364
"Blue Öyster Cult","(Don't Fear) The Reaper","album rock, art rock, blues rock, classic rock, hard rock, metal, rock","A",308120,71,0.0029,0.0733,0.297,0.000208,0.927,141.466,4,-8.55,0.333,0.385
"Kay Starr","(Everybody's Waitin' For) The Man With The Bag - Remastered 1996","adult standards, easy listening, lounge, swing, torch song, vocal jazz","G",162426,48,0.512,0.067,0.253,2.93e-05,0.258,141.443,4,-12.379,0.713,0.798
"Panic! At The Disco","(Fuck A) Silver Lining","modern rock","Cs",168613,50,0.0272,0.108,0.24,0,0.939,105.092,4,-1.352,0.577,0.714
"Aretha Franklin","(You Make Me Feel Like) A Natural Woman","adult standards, classic soul, jazz blues, memphis soul, soul, southern soul","F",165333,65,0.679,0.0284,0.141,0,0.271,110.89,3,-10.083,0.603,0.405
"$uicideboy$","...And to Those I Love, Thanks for Sticking Around","dark trap, new orleans rap, underground hip hop","D",168489,77,0.124,0.0409,0.14,9.04e-05,0.511,113.983,4,-6.876,0.792,0.111
"Taylor Swift","...Ready For It?","pop","D",208186,72,0.0527,0.136,0.197,0,0.764,160.015,4,-6.509,0.613,0.417
"Playboi Carti","@ MEH","atl hip hop, hip hop, plugg, pluggnb, rap","B",166799,58,0.0136,0.153,0.0678,0.000283,0.492,151.044,4,-8.11,0.876,0.4
"blackbear","@ my worst","pop, pop rap","E",191364,63,0.0173,0.0551,0.15,0,0.774,136.887,4,-5.152,0.615,0.336
"Bas","[The Jackie] (with J. Cole & Lil Tjay)","hip hop, queens hip hop, rap, southern hip hop, sudanese hip hop, sudanese pop, trap, underground hip hop","Gs",204434,61,0.33,0.0523,0.278,0,0.473,128.014,4,-6.139,0.784,0.635
"Taylor Swift","‘tis the damn season","pop","F",229840,62,0.735,0.0312,0.105,6.59e-05,0.434,145.916,4,-8.193,0.575,0.348
"Bad Bunny","<3","reggaeton, trap latino, urbano latino","As",157967,66,0.602,0.229,0.152,1.7e-06,0.665,80.353,4,-7.589,0.631,0.634
"Drake","0 To 100 / The Catch Up","canadian hip hop, canadian pop, hip hop, rap, toronto rap","B",275226,67,0.737,0.39,0.252,0,0.716,176.618,4,-3.964,0.559,0.504
"Childish Gambino","0.00","atl hip hop, hip hop, pop, rap","Ds",179386,39,0.672,0.0495,0.42,0.196,0.0466,116.713,4,-18.458,0.174,0.0337
"BTS","00:00 (Zero O’Clock)","k-pop, k-pop boy group","Cs",250295,68,0.0806,0.0675,0.11,0,0.547,157.962,4,-6.456,0.56,0.199
"J. Cole","03’ Adolescence","conscious hip hop, hip hop, north carolina hip hop, rap","Cs",264213,61,0.395,0.59,0.274,0,0.811,70.58,4,-6.181,0.528,0.26
"TOMORROW X TOGETHER","0X1=LOVESONG (I Know I Love You) feat. Seori","k-pop, k-pop boy group","C",202203,70,0.0558,0.079,0.0663,0,0.836,104.973,4,-4.925,0.584,0.484
"J. Cole","1 0 0 . m i l ‘ (with Bas)","conscious hip hop, hip hop, north carolina hip hop, rap","D",163302,59,0.334,0.0822,0.312,0,0.647,125.092,4,-5.667,0.711,0.227
"Olivia Rodrigo","1 step forward, 3 steps back","pop","D",163586,74,0.941,0.102,0.126,0,0.203,168.884,4,-12.627,0.473,0.419
"Sofía Reyes","1, 2, 3 (feat. Jason Derulo & De La Ghetto)","dance pop, latin pop, mexican pop","Cs",201526,69,0.165,0.0589,0.0501,0,0.895,94.968,4,-3.112,0.792,0.794
"21 Savage","1.5","atl hip hop, rap","Cs",148655,60,0.000244,0.359,0.454,1.16e-06,0.52,84.022,4,-8.353,0.885,0.306
"Drake","10 Bands","canadian hip hop, canadian pop, hip hop, rap, toronto rap","B",177733,63,0.265,0.383,0.0762,2.15e-06,0.756,172.938,4,-3.687,0.825,0.888
"Bon Iver","10 d E A T h b R E a s T ⚄ ⚄","eau claire indie, indie folk, melancholia","Gs",144000,43,0.302,0.157,0.0532,0.113,0.789,109.202,4,-7.031,0.69,0.73
"Tory Lanez","10 F*CKS (with Mansa)","canadian hip hop, canadian trap, melodic rap, pop rap, r&b, rap, toronto rap, trap","B",169763,54,0.048,0.116,0.207,0,0.562,88.027,4,-10.326,0.709,0.265
"Juice WRLD","10 Feet","chicago rap, melodic rap","Fs",212311,60,0.466,0.184,0.263,0.000593,0.682,104.014,4,-7.698,0.675,0.525
"Metro Boomin","10 Freaky Girls (with 21 Savage)","rap","Fs",208293,75,0.588,0.31,0.102,0,0.353,88.031,4,-9.931,0.81,0.0727
"Leah Kate","10 Things I Hate About You","alt z, pop, post-teen pop, social media pop","Gs",157138,72,0.00991,0.0501,0.169,0,0.786,153.967,4,-2.97,0.544,0.446
"Daði Freyr","10 Years","icelandic pop, sunnlensk tonlist","D",166000,52,0.0141,0.0391,0.0926,0.000148,0.621,123.038,4,-6.916,0.798,0.443
"Dan + Shay","10,000 Hours","contemporary country, country, country road, pop","As",167693,0,0.149,0.0259,0.111,0,0.63,89.991,4,-4.644,0.654,0.43
"Tiësto","10:35","big room, brostep, dance pop, dutch edm, edm, house, pop, pop dance, slap house, trance, tropical house","Gs",172252,87,0.0683,0.097,0.18,3.78e-06,0.793,120.003,4,-5.733,0.696,0.698
"Anuel AA","100","reggaeton, reggaeton flow, trap boricua, trap latino, urbano latino","As",215293,49,0.554,0.155,0.251,2.07e-06,0.455,95.097,4,-5.698,0.769,0.293
