"id";"artista";"musica";"generos";"genero_principal";"album";"key";"duracao";"popularidade";"acustico";"discurso";"vivacidade";"instrumentalidade";"energia";"tempo";"time_signature";"sonoridade";"dancabilidade";"valencia"
"0xSfELjbi6QwmprLDu4Nrx";"The Neighbourhood";"#icanteven (feat. French Montana)";"modern alternative rock, modern rock, pop, shimmer pop";"Rock";"#000000 & #FFFFFF";"Fs";234480;61;0,114;0,146;0,0787;1,9e-05;0,625;111,866;4;-9,387;0,359;0,154
"5dkZ2DrcPJrqwlRQe6Q35e";"XXXTENTACION";"#PROUDCATOWNERREMIX";"emo rap, miami hip hop";"HipHop";"#PROUDCATOWNERREMIX";"Cs";157293;50;0,0287;0,39;0,127;4,13e-05;0,522;145,127;4;-6,229;0,783;0,235
"1HOlb9rdNOmy9b1Fakicjo";"The Chainsmokers";"#SELFIE";"dance pop, edm, electropop, pop, pop dance, tropical house";"Pop";"#SELFIE";"C";183750;60;0,0135;0,249;0,077;8,09e-06;0,916;127,956;4;-3,262;0,789;0,658
"65u1dHQyQyE4y4aN2eDmMF";"XXXTENTACION";"$$$ - with Matt Ox";"emo rap, miami hip hop";"HipHop";"?";"Cs";130403;59;0,0636;0,065;0,138;0;0,507;140,067;4;-6,952;0,774;0,508
"1CUmDIdhiRGCVFNWDAZ4uo";"Sfera Ebbasta";"$€ Freestyle";"italian hip hop, italian pop, trap italiana, trap latino";"Pop";"Famoso";"Gs";164468;46;0,2;0,335;0,376;0;0,67;136,079;4;-8,661;0,813;0,38
"1TkWsnheqK0gBtvh07BtNX";"Lil Dicky";"$ave Dat Money (feat. Fetty Wap & Rich Homie Quan)";"comedy rap, pop rap, rap";"Pop";"Professional Rapper";"D";290835;59;0,114;0,23;0,224;0;0,697;98,013;4;-5,361;0,858;0,364
"5QTxFnGygVM4jFQiBovmRo";"Blue Öyster Cult";"(Don't Fear) The Reaper";"album rock, art rock, blues rock, classic rock, hard rock, metal, rock";"Rock";"Agents Of Fortune";"A";308120;71;0,0029;0,0733;0,297;0,000208;0,927;141,466;4;-8,55;0,333;0,385
"2UA49yZYjwyhKqGH3hPIih";"Kay Starr";"(Everybody's Waitin' For) The Man With The Bag - Remastered 1996";"adult standards, easy listening, lounge, swing, torch song, vocal jazz";"Jazz";"Ultra-Lounge: Christmas Cocktails";"G";162426;48;0,512;0,067;0,253;2,93e-05;0,258;141,443;4;-12,379;0,713;0,798
"3BDxv4ORzOpXAsa4lWVl4i";"Panic! At The Disco";"(Fuck A) Silver Lining";"modern rock";"Rock";"Pray for the Wicked";"Cs";168613;50;0,0272;0,108;0,24;0;0,939;105,092;4;-1,352;0,577;0,714
"5K09WxKdlkroDyEVyOSySy";"Aretha Franklin";"(You Make Me Feel Like) A Natural Woman";"adult standards, classic soul, jazz blues, memphis soul, soul, southern soul";"Jazz";"Lady Soul (With Bonus Selections)";"F";165333;65;0,679;0,0284;0,141;0;0,271;110,89;3;-10,083;0,603;0,405
"30QR0ndUdiiMQMA9g1PGCm";"$uicideboy$";"...And to Those I Love, Thanks for Sticking Around";"dark trap, new orleans rap, underground hip hop";"HipHop";"Stop Staring At the Shadows";"D";168489;77;0,124;0,0409;0,14;9,04e-05;0,511;113,983;4;-6,876;0,792;0,111
"2yLa0QULdQr0qAIvVwN6B5";"Taylor Swift";"...Ready For It?";"pop";"Pop";"reputation";"D";208186;72;0,0527;0,136;0,197;0;0,764;160,015;4;-6,509;0,613;0,417
"5UusfWUMMLEXLMc1ViNZoe";"Playboi Carti";"@ MEH";"atl hip hop, hip hop, plugg, pluggnb, rap";"HipHop";"@ MEH";"B";166799;58;0,0136;0,153;0,0678;0,000283;0,492;151,044;4;-8,11;0,876;0,4
"0mHGftgYtmpH4y17T3VZ2E";"blackbear";"@ my worst";"pop, pop rap";"Pop";"@ my worst";"E";191364;63;0,0173;0,0551;0,15;0;0,774;136,887;4;-5,152;0,615;0,336
"2cny5OSTr2976U3o018GoV";"Bas";"[The Jackie] (with J. Cole & Lil Tjay)";"hip hop, queens hip hop, rap, southern hip hop, sudanese hip hop, sudanese pop, trap, underground hip hop";"Pop";"[BUMP] Pick Me Up";"Gs";204434;61;0,33;0,0523;0,278;0;0,473;128,014;4;-6,139;0,784;0,635
"7dW84mWkdWE5a6lFWxJCBG";"Taylor Swift";"‘tis the damn season";"pop";"Pop";"evermore";"F";229840;62;0,735;0,0312;0,105;6,59e-05;0,434;145,916;4;-8,193;0,575;0,348
"4MZSqgwlE71CWZ6qQ3gkKm";"Bad Bunny";"<3";"reggaeton, trap latino, urbano latino";"Reggaeton";"YHLQMDLG";"As";157967;66;0,602;0,229;0,152;1,7e-06;0,665;80,353;4;-7,589;0,631;0,634
